Expirations,,,,,,,
,,,,,,,
,,,,,,,
Resource ID,Percent,Days,Expiration Description,Expiration Date,Expiration Code,Expiration Name,Priority Status
UL53747,38%,34,PM : 000-TPM : Descr : Trailer PM Service,6/15/2021 12:00:00 AM,PRE,Preventive Maint,Key Date
UL53588,38%,34,PM : 000-TPM : Descr : Trailer PM Service,6/15/2021 12:00:00 AM,PRE,Preventive Maint,Key Date
UL53505,36%,32,PM : 000-DOT : Descr : Annual DOT Inspection,6/17/2021 12:00:00 AM,PRE,Preventive Maint,Required
UL53494,36%,32,need trailer empty back for inspection(alingment),6/17/2021 5:31:00 PM,HOLD,Out of Service,Key Date
UL53436,36%,32,vin plate missed. Ordered replasment 6.17.21,6/17/2021 8:41:00 PM,PRE,Preventive Maint,Key Date
UL53628,36%,32,PM : 000-DOT : Descr : Annual DOT Inspection,6/17/2021 12:00:00 AM,PRE,Preventive Maint,Required
UL53630,36%,32,PM : 000-DOT : Descr : Annual DOT Inspection,6/17/2021 12:00:00 AM,PRE,Preventive Maint,Required
UL53609,36%,32,accident 6.17.21. need repair estimate,6/17/2021 6:41:00 PM,HOLD,Out of Service,Required
ULRF070,36%,32,PM : 000-TPM : Descr : Trailer PM Service,6/17/2021 12:00:00 AM,PRE,Preventive Maint,Key Date
ULRF079,36%,32,PM : 000-TPM : Descr : Trailer PM Service,6/17/2021 12:00:00 AM,PRE,Preventive Maint,Key Date
ULRF029,36%,32,PM : 000-RPM : Descr : Reefer PM Service,6/17/2021 12:00:00 AM,PRE,Preventive Maint,Key Date
ULRF078,34%,31,"coolant issue, going to dealer(TK)",6/18/2021 12:31:28 PM,HOLD,Out of Service,Required
UL53823,34%,31,PM : 000-TPM : Descr : Trailer PM Service,6/18/2021 12:00:00 AM,PRE,Preventive Maint,Key Date
UL53334,33%,30,prep for raill. Chris 3.29.21 back fro Chris,6/19/2021 9:21:00 AM,HOLD,Out of Service,Required
UL53506,32%,29,PM : 000-TPM : Descr : Trailer PM Service,6/20/2021 12:00:00 AM,PRE,Preventive Maint,Key Date
UL53396,31%,28,PM : 000-TPM : Descr : Trailer PM Service,6/21/2021 12:00:00 AM,PRE,Preventive Maint,Key Date
UL53808,30%,27,PM : 000-TPM : Descr : Trailer PM Service,6/22/2021 12:00:00 AM,PRE,Preventive Maint,Key Date
UL53661,29%,26,PM : 000-TPM : Descr : Trailer PM Service,6/23/2021 12:00:00 AM,PRE,Preventive Maint,Key Date
ULRF035,28%,25,PM : 000-RPM : Descr : Reefer PM Service,6/24/2021 12:00:00 AM,PRE,Preventive Maint,Key Date
